price;size;location;real_estate;ownership
779.000 - 799.000 €;155,00 - 157,00 m²;Odelzhausen, Dachau (Kreis);Haus;Kauf
690.000 €;288,55 m²;Hilgertshausen-Tandern, Dachau (Kreis);Haus;Kauf
6.500.000 €;1.422 m²;Mittermayerstraße 16+16a, Dachau, Dachau (Kreis);Haus;Kauf
875.000 €;134 m²;Aubing, München;Haus;Kauf
917.000 €;137,63 m²;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
1.125.000 €;212,52 m²;Haar, München (Kreis);Haus;Kauf
670.000 €;210 m²;Eurasburg, Aichach-Friedberg (Kreis);Haus;Kauf
1.080.000 €;138,28 m²;Ottobrunn, München (Kreis);Haus;Kauf
1.690.000 €;203 m²;Trudering, München;Haus;Kauf
1.100.000 €;154 m²;Hohenbrunn, München (Kreis);Haus;Kauf
996.000 €;149,1 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
3.550.000 €;229 m²;Grünwald, München (Kreis);Haus;Kauf
1.772.800 €;535 m²;Trudering, München;Haus;Kauf
2.595.000 €;207,54 m²;Aubing, München;Haus;Kauf
1.027.500 €;125,82 m²;Am Mitterfeld Ecke Karotschstraße -, Trudering, München;Haus;Kauf
6.900.000 €;750 m²;Feldafing, Starnberg (Kreis);Haus;Kauf
1.195.000 €;185 m²;Weßling, Starnberg (Kreis);Haus;Kauf
6.800.000 €;385 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
349.000 - 2.399.000 €;34,00 - 216,00 m²;Am Fendlbach 6, Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf
1.865.000 €;229 m²;Berg, Starnberg (Kreis);Haus;Kauf
299.500 - 899.500 €;51,00 - 156,00 m²;Andechs, Starnberg (Kreis);Haus;Kauf
950.000 €;155,16 m²;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf
1.790.000 €;254 m²;Gauting, Starnberg (Kreis);Haus;Kauf
2.250.000 €;200 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
762.000 €;155 m²;Andechs, Starnberg (Kreis);Haus;Kauf
1.250.000 €;171,53 m²;Krailling, Starnberg (Kreis);Haus;Kauf
1.650.000 €;270 m²;Gauting, Starnberg (Kreis);Haus;Kauf
1.484.699 €;575 m²;Berg, Starnberg (Kreis);Haus;Kauf
6.800.000 €;380 m²;Berg, Starnberg (Kreis);Haus;Kauf
1.395.000 €;161 m²;Berg, Starnberg (Kreis);Haus;Kauf
2.195.000 €;203 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
2.450.000 €;340 m²;Seefeld, Starnberg (Kreis);Haus;Kauf
1.790.000 €;178 m²;Hechendorfer Str. 142, Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf
950 m²;33 Zi.33;Starnberg, Starnberg (Kreis);Haus;Kauf
2.490.000 €;320 m²;Seefeld, Starnberg (Kreis);Haus;Kauf
860.000 €;118 m²;Tutzing, Starnberg (Kreis);Haus;Kauf
1.150.000 €;146 m²;Tutzing, Starnberg (Kreis);Haus;Kauf
162 m²;5 Zi.5;Berg, Starnberg (Kreis);Haus;Kauf
3.650.000 €;220 m²;Tutzing, Starnberg (Kreis);Haus;Kauf
1.290.000 €;188 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
995.000 €;215 m²;Am Waldhang 9, Gilching, Starnberg (Kreis);Haus;Kauf
1.870.000 €;234 m²;Krailling, Starnberg (Kreis);Haus;Kauf
1.610.000 €;256,6 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
999.000 €;177 m²;Pütrichstraße 18, Gauting, Starnberg (Kreis);Haus;Kauf
9.200.000 €;520 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
3.089.000 €;330 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
1.570.000 €;249 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
1.020.000 €;120 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
1.539.699 €;644 m²;Berg, Starnberg (Kreis);Haus;Kauf
1.655.000 €;205 m²;Wörthsee, Starnberg (Kreis);Haus;Kauf
1.895.000 €;200 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
850.000 €;210 m²;Tutzing, Starnberg (Kreis);Haus;Kauf
725.000 €;136,42 m²;Andechs, Starnberg (Kreis);Haus;Kauf
750.000 - 870.000 €;155,00 - 180,00 m²;Kesselweg 2, Andechs, Starnberg (Kreis);Haus;Kauf
3.650.000 €;210 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
3.980.000 €;500 m²;Andechs, Starnberg (Kreis);Haus;Kauf
886.330 €;140,29 m²;Gilching, Starnberg (Kreis);Haus;Kauf
765.000 €;111 m²;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf
1.099.000 €;164 m²;Gilching, Starnberg (Kreis);Haus;Kauf
2.280.000 €;263 m²;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf
1.220.000 €;156 m²;Berg, Starnberg (Kreis);Haus;Kauf
830.000 €;177 m²;Gilching, Starnberg (Kreis);Haus;Kauf
398.900 - 469.900 €;54,20 - 65,60 m²;Margaretenstraße 28, Krailling, Starnberg (Kreis);Haus;Kauf
750.000 €;140 m²;Gauting, Starnberg (Kreis);Haus;Kauf
980.000 €;130 m²;Margaretenstr. 4d, Krailling, Starnberg (Kreis);Haus;Kauf
